Year,Moments
1948,"On December 3, 1947, Tennessee Williams's A Streetcar Named Desire, starring Marlon Brando, Jessica Tandy, and Kim Hunter, opened on Broadway."
1948,"Special Award-To Colonel William N. Selig, Albert E. Smith, Thomas Armat and George K. Spoor (one of) the small group of pioneers whose belief in a new medium, and whose contributions to its development, blazed the trail along which the motion picture has progressed, in their lifetime, from obscurity to world-wide acclaim."
1948,"Special Award-To Bill and Coo, in which artistry and patience blended in a novel and entertaining use of the medium of motion pictures."
1948,"Special Award-Italy – To Shoe-Shine - the high quality of this motion picture, brought to eloquent life in a country scarred by war, is proof to the world that the creative spirit can triumph over adversity."
1948,"Special Award-To James Baskett for his able and heart-warming characterization of Uncle Remus, friend and story teller to the children of the world in Walt Disney's Song of the South."
1949,"Best Picture: Hamlet"
1949,"Hamlet also won Academy Awards for Best Actor (Laurence Olivier), Black-and-White Art Direction-Set Decoration  (Roger K. Furse and Carmen Dillon), and Black-and-White Costume Design (Roger K. Furse)."
1949,"The ceremony was moved from the Shrine Auditorium to the Academy's own theater primarily because the major Hollywood studios had withdrawn their financial support in order to address rumors that they had been trying to influence voters."
1949,"Robert Montgomery was the master of ceremonies."
1949,"Douglas Fairbanks Jr. accepted the Best Actor award on behalf of Laurence Olivier, who was in England."
1949,"For the first time, the Academy gave awards for Costume Design; nominees were separately classified between color and black-and-white films."
1949,"In January 1948, Warner Bros. showed the first color newsreel; it featured the Tournament of Roses Parade and the Rose Bowl."
1949,"In March 1948, the Hells Angels Motorcycle Club was founded."
1949,"In March 1948, the United States Supreme Court ruled that religious instruction in public schools violated the U.S. Constitution in the case McCollum v. Board of Education."
1949,"On April 3, 1948, President Truman signed the Foreign Assistance Act of 1948, known as the Marshall Plan, to stimulate economic recovery in Europe and China."
1949,"On June 11, 1948, the first monkey astronaut, Albert I, was launched into space by NASA."
1949,"On July 31, 1948, New York International Airport, renamed John F. Kennedy International Airport in 1963, was dedicated at Idlewild Field in New York."
1949,"In November 1948, President Truman defeated Thomas E. Dewey in the U.S. presidential election."
1949,"In December 1948, Cole Porter's musical Kiss Me, Kate opened on Broadway."
1949,"Special Foreign Language Film Award-France – To Monsieur Vincent - voted by the Academy Board of Governors as the most outstanding foreign language film released in the United States during 1948."
1949,"Special Award-To Sid Grauman, master showman, who raised the standard of exhibition of motion pictures."
1949,"Special Award-To Adolph Zukor, a man who has been called the father of the feature film in America, for his services to the industry over a period of forty years."
1949,"Special Award-To Jean Hersholt - in recognition of his service to the Academy during four terms as president."
1949,"Special Award-To Walter Wanger for distinguished service to the industry in adding to its moral stature in the world community by his production of the picture Joan of Arc."
1949,"Special Award-To Ivan Jandl, for the outstanding juvenile performance of 1948, as Karel Malik in The Search."
1949,"Irving G. Thalberg Memorial Award-To Jerry Wald"
1950,"Best Picture: All the King’s Men"
1950,"All the King’s Men also won Academy Awards for Best Actor (Broderick Crawford) and Best Supporting Actress (Mercedes McCambridge)."
1950,"Paul Douglas was the master of ceremonies."
1950,"In Janurary 1949, the first Emmy Awards were presented at the Hollywood Athletic Club."
1950,"On February 10, 1949, Arthur Miller’s play Death of a Salesman, starring Lee J. Cobb, premiered in New York City."
1950,"On April 7, 1949, the Rodgers and Hammerstein musical South Pacific, starring Mary Martin and Ezio Pinza, opened on Broadway."
1950,"In June 1949, Hopalong Cassidy, television’s first Western series, aired on NBC."
1950,"On October 1, 1949, the People’s Republic of China was formally established."
1950,"In November 1949, the ski resort in Squaw Valley, California opened and offered the first double chairlift in the western U.S."
1950,"Special Foreign Language Film Award-Italy in The Bicycle Thief – To The Bicycle Thief - voted by the Academy Board of Governors as the most outstanding foreign language film released in the United States during 1949."
1950,"Special Award-To Bobby Driscoll, as the outstanding juvenile actor of 1949."
1950,"Special Award-To Fred Astaire for his unique artistry and his contributions to the technique of musical pictures."
1950,"Special Award-To Cecil B. DeMille, distinguished motion picture pioneer, for 37 years of brilliant showmanship."
1950,"Special Award-To Jean Hersholt, for distinguished service to the motion picture industry."
1951,"Best Picture: All about Eve"
1951,"All about Eve also won Academy Awards for Best Supporting Actor (George Sanders), Black-and-White Costume Design (Edith Head and Charles LeMaire), Directing (Joseph L. Mankiewicz), Sound Recording (20th Century-Fox Studio Sound Department), and Writing – Screenplay (Joseph L. Mankiewicz)."
1951,"All about Eve was the most-nominated film to that date, with 14 nominations."
1951,"Fred Astaire was the master of ceremonies."
1951,"Marlene Dietrich stole the show by wearing a dress that exposed her famous legs (to the knee)."
1951,"On February 22, 1950, Walt Disney's Cinderella was released in New York. It earned three nominations."
1951,"In April 1950, South Africa's apartheid government passed the Group Areas Act of 1950, legally dividing the country into distinct residential and business sections based on race."
1951,"In May 1950, L. Ron Hubbard published Dianetics: The Modern Science of Mental Health."
1951,"In June 1950, the Korean War began when North Korean forces crossed the 38th parallel and invaded South Korea."
1951,"In August 1950, Florence Chadwick of San Diego, California, swam the English Channel in the record time of 13 hours and 20 minutes."
1951,"In October 1950, the comic strip Peanuts, created by Charles M. Schulz, was published for the first time in seven U.S. newspapers."
1951,"In October 1950, Communist Chinese forces invaded Tibet."
1951,"Honorary Foreign Language Film Award-France/Italy – To The Walls of Malapag - voted by the Board of Governors as the most outstanding foreign language film released in the United States in 1950."
1951,"Honorary Award-To George Murphy for his services in interpreting the film industry to the country at large."
1951,"Honorary Award-To Louis B. Mayer for distinguished service to the motion picture industry."
1951,"Irving G. Thalberg Memorial Award-To Darryl F. Zanuck"
1952,"Best Picture: An American In Paris"
1952,"An American In Paris also won Academy Awards for Color Art Direction-Set Decoration (Cedric Gibbons, Preston Ames, Edwin B. Willis, and Keogh Gleason), Color Cinematography (Alfred Gilks and John Alton), Color Costume Design (Orry-Kelly, Walter Plunkett, and Irene Sharaff), Music – Scoring of a Musical Picture (Johnny Green and Saul Chaplin), and Writing – Story and Screenplay (Alan Jay Lerner)."
1952,"An American In Paris was only the third musical to win Best Picture. (The two previous winners were The Broadway Melody in 1928/29 and “The Great Ziegfeld” in 1936.)"
1952,"Danny Kaye was the master of ceremonies."
1952,"A Streetcar Named Desire became the first film to win three awards for acting (Vivien Leigh for Best Actress, Karl Malden for Best Supporting Actor, and Kim Hunter for Best Supporting Actress)."
1952,"In February 1951, the 22nd Amendment to the United States Constitution, limiting presidents to two terms, was ratified."
1952,"On March 2, 1951, the first NBA All-Star Game was played at the Boston Garden."
1952,"In March 1951, Hank Ketcham's comic strip Dennis the Menace appeared in U.S. newspapers for the first time."
1952,"On March 29, 1951, the Rodgers and Hammerstein musical The King and I, starring Yul Brynner, opened on Broadway."
1952,"On July 19, 1951, MGM's film version of Show Boat premiered at the Egyptian Theater in Los Angeles. It earned two nominations."
1952,"In July 1951, J.D. Salinger's only novel, The Catcher in the Rye, was published."
1952,"On October 3, 1951, Bobby Thomson of the New York Giants hit a home run off Brooklyn Dodgers pitcher Ralph Branca in the bottom of the ninth inning to win the National League Pennant. The game-winning hit is referred to as The Shot Heard 'Round the World."
1952,"On October 15, 1951, I Love Lucy debuted on CBS."
1952,"On November 24, 1951, the play Gigi, starring a relatively unknown actress named Audrey Hepburn, opened on Broadway."
1952,"Honorary Foreign Language Film Award-Japan – To Rashomon - voted by the Board of Governors as the most outstanding foreign language film released in the United States during 1951."
1952,"Honorary Award-To Gene Kelly in appreciation of his versatility as an actor, singer, director and dancer, and specifically for his brilliant achievements in the art of choreography on film."
1952,"Irving G. Thalberg Memorial Award-To Arthur Freed"
1953,"Best Picture: The Greatest Show On Earth"
1953,"The Greatest Show On Earth also won the Academy Award for Writing – Motion Picture Story (Fredric M. Frank, Theodore St. John, and Frank Cavett)."
1953,"High Noon was only the third movie to win for both Song and Score. The previous two were The Wizard of Oz and Pinocchio."
1953,"For the first time, television cameras covered the Academy Awards presentation. In addition to the event at the Pantages Theatre, hosted by Bob Hope, a companion event took place in New York at the NBC International Theatre, hosted by Conrad Nagel. Cameras switched back and forth between the two shows, depending on the location of the presenter or the winner. The show received the largest single audience to that date in television's five-year commercial history."
1953,"On January 14, 1952, The Today Show debuted on NBC."
1953,"On February 6, 1952, King George VI died, to be succeeded by Princess Elizabeth, who was on an official tour of Kenya. It marked the first time that a British sovereign acceded to the throne while away from England and abroad in the Commonwealth."
1953,"In April 1952, Lever House opened at 390 Park Avenue. It was the first International Style skyscraper."
1953,"In May 1952, Ann Davison began her successful attempt to become the first woman to sail solo across the Atlantic Ocean. She landed in Dominica on January 24,1953."
1953,"In June 1952, Anne Frank: The Diary of a Young Girl was published in the United States and featured an introduction by Eleanor Roosevelt."
1953,"On July 26, 1952, María Eva Duarte de Perón – Evita – died of cancer in Argentina at the age of 33."
1953,"On November 25, 1952, Agatha Christie's murder-mystery The Mousetrap premiered at the Ambassadors Theatre in London."
1953,"Honorary Foreign Language Film Award-To France for Forbidden Games."
1953,"Honorary Award-To George Alfred Mitchell for the design and development of the camera which bears his name and for his continued and dominant presence in the field of cinematography."
1953,"Honorary Award-To Joseph M. Schenck for long and distinguished service to the motion picture industry."
1953,"Honorary Award-To Merian C. Cooper for his many innovations and contributions to the art of motion pictures."
1953,"Honorary Award-To Harold Lloyd, master comedian and good citizen."
1953,"Honorary Award-To Bob Hope for his contribution to the laughter of the world, his service to the motion picture industry, and his devotion to the American premise."
1953,"Irving G. Thalberg Memorial Award-To Cecil B. DeMille"
1954,"Best Picture: From Here to Eternity"
1954,"From Here to Eternity also won Academy Awards for Best Supporting Actor (Frank Sinatra), Best Supporting Actress (Donna Reed), Black-and-White Cinematography (Burnett Guffey), Directing (Fred Zinnemann), Film Editing (William Lyon), Sound Recording (Columbia Studio Sound Department), and Writing – Screenplay (Daniel Taradash)."
1954,"From Here to Eternity was the first film to tie the long-standing record of eight Academy Awards set by Gone with the Wind."
1954,"An estimated 43 million television viewers watched the awards show."
1954,"Donald O'Connor was the master of ceremonies in Hollywood."
1954,"Fredric March was the host of the companion show in New York at the NBC Center Theatre."
1954,"Walt Disney won awards for The Alaskan Eskimo (Documentary Short Subject), The Living Desert (Documentary Feature), Toot, Whistle, Plunk and Boom (Cartoon Short Subject), and Bear Country (Two-reel Short Subject). No individual had ever personally collected so many Oscars on one night."
1954,"On January 20, 1953, Dwight D. Eisenhower succeeded Harry Truman as President of the United States."
1954,"On January 22, 1953, Arthur Miller's play The Crucible opened on Broadway."
1954,"On March 5, 1953, Joseph Stalin died."
1954,"In April 1953, Ian Fleming's first James Bond novel, Casino Royale, was published in the U.K."
1954,"On June 2, 1953, the coronation of Queen Elizabeth II took place at Westminster Abbey."
1954,"On June 19, 1953, American Communists Julius and Ethel Rosenberg were executed for conspiracy to commit espionage."
1954,"In December 1953, Hugh Hefner published the first issue of Playboy magazine, which featured Marilyn Monroe on the cover."
1954,"Honorary Award-To Pete Smith for his witty and pungent observations on the American scene in his series of Pete Smith Specialties."
1954,"Honorary Award-To Joseph I. Breen for his conscientious, open-minded and dignified management of the Motion Picture Production Code."
1954,"Irving G. Thalberg Memorial Award-To George Stevens"
1955,"Best Picture: On The Waterfront"
1955,"On The Waterfront also won Academy Awards for Best Actor (Marlon Brando), Best Supporting Actress (Eva Marie Saint), Black-and-White Art Direction-Set Decoration, (Richard Day), Black-and-White Cinematography (Boris Kaufman), Directing (Elia Kazan), Film Editing (Gene Milford), and Writing – Story and Screenplay (Budd Schulberg)."
1955,"In March 1954, Edward R. Murrow and Fred Friendly produced a See It Now documentary called A Report on Senator Joseph R. McCarthy."
1955,"On May 17, 1954, the United States Supreme Court ruled that segregation in public schools was unconstitutional in the case Brown v. Board of Education."
1955,"On May 25, 1954, legendary war photographer Robert Capa died in Indochina after stepping on a land mine."
1955,"In July 1954, the Geneva Convention guaranteed independence to Vietnam and divided it in two, with the North going to Ho Chi Minh's Communist forces and the South to pro-French forces."
1955,"On August 16, 1954, the first issue of Sports Illustrated was published."
1955,"In September 1954, William Golding's first novel, Lord of the Flies, was published in the U.K."
1955,"In November 1954, Gojira, the first film to feature Godzilla, premiered in Tokyo, Japan."
1955,"On November 10, 1954, Vice President Richard Nixon dedicated the United States Marine Corps War Memorial, also known as the Iwo Jima War Memorial, at Arlington National Cemetery."
1955,"In December 1954, the first Burger King opened in Miami, Florida."
1955,"Japan's Gate of Hell received an Honorary Award as the year's best foreign language film."
1955,"Judy Garland, nominated for Best Actress in A Star Is Born, was in the hospital with her one-day-old son on the day of the show; NBC-TV had television equipment set up outside her hospital room window just in case she won, but the award went to Grace Kelly."
1955,"On January 14, 1954, Marilyn Monroe married former New York Yankee Joe DiMaggio."
1955,"Honorary Foreign Language Film Award-To Japan for Gate of Hell"
1955,"Honorary Award-To Kemp R. Niver for the development of the Renovare Process which has made possible the restoration of the Library of Congress Paper Film Collection."
1955,"Honorary Award-To Greta Garbo for her unforgettable screen performances."
1955,"Honorary Award-To Danny Kaye for his unique talents, his service to the Academy, the motion picture industry, and the American people."
1955,"Honorary Award-To Jon Whiteley for his outstanding juvenile performance in The Little Kidnappers."
1955,"Honorary Award-To Vincent Winter for his outstanding juvenile performance in The Little Kidnappers."
1973,"Carol Burnett, Michael Caine, Charlton Heston, and Rock Hudson shared the hosting duties."
1973,"Charlton Heston got a flat tire on the way to the ceremony and arrived late. Clint Eastwood was grabbed out of the audience to briefly stand in for him."
1973,"A musical salute to Walt Disney Studios' 50th anniversary featured, among others, Mickey Mouse."
1973,"Rosalind Russell received the Jean Hersholt Humanitarian Award."
1973,"Along with the late Raymond Rasch and Larry Russell, Charlie Chaplin won the Original Dramatic Score award for Limelight, a movie that was released in New York in 1952. Its belated eligibility was due to the fact that the film had not been shown in Los Angeles until 1972, and so only then did it qualify for Academy Award consideration."
1973,"On February 6, 1972, Bob Douglas became the first African-American man to be elected as an individual to the Basketball Hall of Fame. Douglas, the owner and coach of the New York Renaissance from 1922 to 1949, was known as The Father of Black Professional Basketball."
1973,"In March 1972, Clifford Irving and his wife, Edith, pleaded guilty to federal and state charges of conspiring to defraud publisher McGraw-Hill by selling a fake autobiography of Howard Hughes."
1973,"In June 1972, five men were arrested while trying to break into and bug the offices of the Democratic National Committee at the Watergate Hotel."
1973,"In July 1972, the first female FBI agents to serve in over forty years were appointed. There were three female agents in the 1920s."
1973,"On July 21, 1972, comedian George Carlin was arrested at Summerfest in Milwaukee for disorderly conduct after reciting his Seven Words You Can Never Say on Television."
1973,"In August 1972, John Wojtowicz and Sal Naturale held seven Chase Manhattan Bank employees hostage for 14 hours in Brooklyn, New York. The event was later dramatized in the 1975 film Dog Day Afternoon."
1973,"On August 26th, 1972, the Summer Olympics opened in Munich, Germany."
1973,"On September 5, 1972, eight Palestinian terrorists stormed the Olympic Village apartments, killing two Israeli athletes and taking nine others hostage. Those nine were killed the next day."
1973,"On November 7, 1972, President Nixon defeated Senator George McGovern in the U.S. presidential election."
1973,"Atari began production on Pong, one of the earliest of the new generation of arcade video games, in November 1972."
1973,"On December 26, 1972, former President Harry Truman died in Kansas City, Missouri."
1973,"On December 31, 1972, baseball player Roberto Clemente was killed in a plane crash. He was on his way to bring food and other relief supplies to the survivors of an earthquake in Nicaragua."
1973,"Special Achievement Award (Visual Effects)-To The Poseidon Adventure L. B. Abbott, A. D. Flowers"
1973,"Jean Hersholt Humanitarian Award-To Rosalind Russell."
1973,"Honorary Award-To Charles S. Boren, Leader for 38 years of the industry's enlightened labor relations and architect of its policy of non-discrimination. With the respect and affection of all who work in films."
1973,"Honorary Award-To Edward G. Robinson who achieved greatness as a player, a patron of the arts and a dedicated citizen...in sum, a Renaissance man. From his friends in the industry he loves."
1974,"Best Picture: The Sting"
1974,"The Sting also won Academy Awards for Art Direction-Set Decoration (Henry Bumstead and James Payne), Costume Design (Edith Head), Directing (George Roy Hill), Film Editing (William Reynolds), Music – Scoring, Original Song Score and/or Adaptation (Marvin Hamlisch), and Writing – Story and Screenplay based on factual material or material not previously published or produced (David S. Ward)."
1974,"Katharine Hepburn attended the Academy Awards ceremony for the first time, to present the Irving G. Thalberg Memorial Award to her friend, producer Lawrence Weingarten."
1974,"Marvin Hamlisch set a new Oscar record when he won all three of the year's music awards: Song (The Way We Were, with Alan and Marilyn Bergman), Original Dramatic Score (The Way We Were), and Scoring (The Sting)."
1974,"John Huston, Diana Ross, Burt Reynolds, and David Niven shared the hosting duties."
1974,"Moments before David Niven announced Elizabeth Taylor as the presenter of Best Picture, a streaker charged across the stage."
1974,"David Niven remarked, Isn't it fascinating to think that probably the only laugh that man will ever get in his life is by stripping off and showing his shortcomings."
1974,"Ten-year-old Tatum O'Neal became the youngest winner ever in a competitive Academy Awards category when she won Best Supporting Actress for her performance in Paper Moon."
1974,"In January 1973, CBS sold the New York Yankees to George Steinbrenner and club president Michael Burke for $10 million."
1974,"On January 22, 1973, the Supreme Court handed down its landmark decision in the case of Roe v. Wade."
1974,"In March 1973, Pink Floyd released its album The Dark Side of the Moon."
1974,"In March 1973, the last remaining U.S. combat troops withdrew from Vietnam."
1974,"On April 4, 1973, the World Trade Center officially opened in New York City."
1974,"In May 1973, the Sears Tower in Chicago was completed, making it the tallest building in the world, a record that it held for over 20 years. It remains the tallest building in the U.S."
1974,"On June 9, 1973, Secretariat won the Belmont Stakes, becoming the first horse since Citation in 1948 to win the Triple Crown. Secretariat won by an astonishing 31 lengths and established a new world record time that still stands."
1974,"On September 20, 1973, Billie Jean King won the Battle of the Sexes tennis match against Bobby Riggs in three straight sets at the Houston Astrodome."
1974,"On December 16, 1973, Buffalo Bills player Orenthal James OJ Simpson became the first player in the NFL to rush for more than 2,000 yards in a single season."
1974,"Jean Hersholt Humanitarian Award-To Lew Wasserman."
1974,"Honorary Award-To Henri Langlois for his devotion to the art of film, his massive contributions in preserving its past and his unswerving faith in its future."
1974,"Honorary Award-To Groucho Marx in recognition of his brilliant creativity and for the unequalled achievements of the Marx Brothers in the art of motion picture comedy."
1974,"Irving G. Thalberg Memorial Award-To Lawrence Weingarten."
1975,"Best Picture: The Godfather Part II"
1975,"The Godfather Part II also won Academy Awards for Best Supporting Actor (Robert De Niro), Art Direction-Set Decoration (Dean Tavoularis, Angelo Graham, and George R. Nelson), Directing (Francis Ford Coppola), Music – Original Dramatic Score (Nino Rota and Carmine Coppola), and Writing – Screenplay adapted from other material (Francis Ford Coppola and Mario Puzo)."
1975,"The Godfather Part II became the first motion picture sequel to win the award for Best Picture, as the original, The Godfather, had won two years earlier."
1975,"Ingrid Bergman, Best Supporting Actress winner for Murder on the Orient Express, devoted her acceptance speech to praising the virtues of fellow nominee Valentina Cortese (Day for Night)."
1975,"Sammy Davis Jr., Bob Hope, Shirley MacLaine, and Frank Sinatra shared the hosting duties."
1975,"There was controversy over the political implications of a telegram read by producer Bert Schneider in accepting the Oscar for the Documentary Feature Hearts and Minds, a film about the Vietnam War."
1975,"On January 2, 1974, the Emergency Highway Energy Conservation Act was signed by President Nixon; one provision suggested a speed limit cap of 55 mph, which was intended to lower gasoline consumption."
1975,"On February 4, 1974, publishing heiress Patricia Hearst was kidnapped by the Symbionese Liberation Army, and on April 15, she was photographed during the notorious robbery of a San Francisco bank."
1975,"In March 1974, Charles de Gaulle Airport opened near Paris, France."
1975,"In March 1974, the Terracotta Army of Qin Shi Huang was discovered near Xi'an, in the Shaanxi province of China."
1975,"In April 1974, Stephen King's first novel, Carrie, was published."
1975,"In May 1974, India successfully detonated its first nuclear device."
1975,"In June 1974, the first Universal Product Code (UPC) was scanned to sell a package of Wrigley's chewing gum in Troy, Ohio."
1975,"On June 29, 1974, Soviet-born ballet dancer Mikhail Baryshnikov defected while on a tour of Canada."
1975,"On August 8, 1974, President Richard M. Nixon announced his intention to become the first president in American history to resign from office."
1975,"Vice President Gerald Ford succeeded President Nixon to become the 38th President of the United States."
1975,"On October 30, 1974, Muhammad Ali became the heavyweight champion of the world for the second time when he knocked out champ George Foreman in the eighth round of the Rumble in the Jungle, a match held in Kinshasa, Zaire."
1975,"On October 9, 1974, Oskar Schindler died."
1975,"In November 1974, a hominid skeleton estimated to be more than 3 million years old was discovered in Ethiopia and named Lucy after the Beatles song Lucy in the Sky with Diamonds."
1975,"Special Achievement Award (Visual Effects)-To Frank Brendel, Glen Robinson, Albert Whitlock for Earthquake."
1975,"Jean Hersholt Humanitarian Award-To Arthur B. Krim."
1975,"Honorary Award-To Howard Hawks, a master American filmmaker whose creative efforts hold a distinguished place in world cinema."
1975,"Honorary Award-To Jean Renoir, a genius who, with grace, responsibility and enviable devotion through silent film, sound film, feature, documentary and television, has won the world's admiration."
1976,"Best Picture: One Flew over the Cuckoo’s Nest"
1976,"One Flew over the Cuckoo’s Nest also won Academy Awards for Best Actor (Jack Nicholson), Best Actress (Louise Fletcher), Directing (Milos Forman), and Writing – Screenplay adapted from other material (Lawrence Hauben and Bo Goldman)."
1976,"One Flew over the Cuckoo’s Nest was the first film to win Best Picture, Actor, Actress, Directing, and Writing since It Happened One Night 41 years earlier."
1976,"Walter Matthau, Robert Shaw, George Segal, Goldie Hawn, and Gene Kelly shared hosting duties."
1976,"Ray Bolger and 24 dancers opened the show with a special number called Hollywood Honors Its Own"
1976,"Elizabeth Taylor closed the show by leading a salute to the nation’s Bicentennial."
1976,"Eighty-year-old George Burns won Best Supporting Actor (The Sunshine Boys) and became the oldest performer to win a competitive Academy Award."
1976,"Louise Fletcher gave part of her acceptance speech in sign language, addressing her deaf parents watching at home in Birmingham, Alabama. I want to say thank you for teaching me to have a dream, she told them. You are seeing my dream come true."
1976,"On January 6, 1975, Wheel of Fortune debuted on NBC."
1976,"On November 6, 1974, Ella Grasso was elected governor of Connecticut. She was the first female governor who did not take office by succeeding her husband. Her inauguration was on January 8, 1975."
1976,"In January 1975, Michael Ovitz, Ron Meyer, Bill Haber, Michael Rosenfeld and Rowland Perkins founded the Creative Artists Agency (CAA)."
1976,"In March 1975, Charlie Chaplin was knighted by Queen Elizabeth II."
1976,"On March 10, 1975, The Rocky Horror Show opened on Broadway. (It had opened in London in June 1973 and in Los Angeles in March 1974.) In September, the movie version, The Rocky Horror Picture Show, was released in Los Angeles."
1976,"In May 1975, Busch Gardens at Williamsburg, Virginia opened. At the time, the theme park was known as The Old Country."
1976,"In August 1975, President Ford posthumously restored full rights of citizenship to  Robert E. Lee."
1976,"In September 1975, Rembrandt’s painting The Night Watch was slashed and damaged at the Rijksmuseum in Amsterdam."
1976,"On October 11, 1975, the first episode of NBC’s Saturday Night was broadcast. George Carlin was the host and Billy Preston and Janis Ian were the musical guests."
1976,"Special Achievement Award (Sound Effects)-To Peter Berkos for The Hindenburg."
1976,"Special Achievement Award (Visual Effects)-To Albert Whitlock, Glen Robinson for The Hindenburg."
1976,"Jean Hersholt Humanitarian Award-To Dr. Jules C. Stein."
1976,"Honorary Award-To Mary Pickford in recognition of her unique contributions to the film industry and the development of film as an artistic medium."
1976,"Irving G. Thalberg Memorial Award-To Mervyn LeRoy."
1977,"Best Picture: Rocky"
1977,"Rocky also won Academy Awards for Directing (John G. Avildsen) and Film Editing (Richard Halsey and Scott Conrad)."
1977,"Sylvester Stallone became the third person in Oscar history to be nominated in a single year as both an actor and as a screenwriter (the others were Charles Chaplin in 1940 and Orson Welles in 1941)."
1977,"Peter Finch was the first performer to win a posthumous Oscar (Best Actor in Network). The award was accepted by his widow."
1977,"Barbra Streisand became the first Oscar-winning actress to also be an Academy Award-winning composer. Evergreen, from A Star Is Born, won the Song category; Streisand wrote the music, with lyrics by Paul Williams."
1977,"Lina Wertmüller was the first woman to be nominated for Directing (Seven Beauties)."
1977,"Richard Pryor, Jane Fonda, Ellen Burstyn, and Warren Beatty shared hosting duties."
1977,"Muhammad Ali surprised Sylvester Rocky Stallone – and the audience – when he appeared on stage. The two men briefly engaged in a good-natured spar."
1977,"In March 1976, the American League voted to expand to Toronto and in August, the new team was named the Blue Jays."
1977,"In April 1976, Steve Jobs and Steve Wozniak formed the Apple Computer company."
1977,"In April 1976, the Ramones released their first album, called Ramones."
1977,"On June 4, 1976, the Boston Celtics defeated the Phoenix Suns 128-126 in triple overtime in Game 5 of the NBA Finals at the Boston Garden."
1977,"In June 1976, the CN Tower, the world’s tallest free-standing structure, opened to the public in Toronto."
1977,"On July 29, 1976, the so-called Son of Sam fired shots at Donna Lauria and Jody Valenti while they were sitting in a car in the Bronx, killing Lauria and wounding Valenti. It was the first in a series of shootings by the serial killer who terrorized New York City over the course of the next year"
1977,"In July 1976, NASA released the Face on Mars photo, taken by Viking 1."
1977,"In July 1976, during the Summer Olympics in Montreal, Canada, 14-year-old Nadia Comaneci became the first gymnast in Olympic history to be awarded a perfect score of 10. She went on to receive seven perfect scores and three gold medals at the Montreal Games and became the youngest all-around gold medalist."
1977,"In September 1976, Frank Sinatra brought Jerry Lewis's former partner, Dean Martin, on stage, unannounced, at the 1976 Jerry Lewis MDA Telethon in Las Vegas, Nevada, reuniting the comedy team for the first time in over 20 years."
1977,"On November 2, 1976, Jimmy Carter defeated the incumbent president, Gerald Ford, in the U.S. presidential election."
1977,"Special Achievement Award-To Carlo Rambaldi, Glen Robinson and Frank Van der Veer for Visual Effects, King Kong."
1977,"Special Achievement Award-To L. B. Abbott, Glen Robinson and Matthew Yuricich for Visual Effects, Logan’s Run."
1977,"Irving G. Thalberg Memorial Award-The Irving G. Thalberg Memorial Award, to Pandro S. Berman."
1978,"Best Picture: Annie Hall"
1978,"Annie Hall also won Academy Awards for Best Actress (Diane Keaton), Directing (Woody Allen), and Writing – Screenplay written directly for the screen (Woody Allen and Marshall Brickman)."
1978,"Bob Hope was the master of ceremonies. It was his final appearance in that role."
1978,"Star Wars won six awards. In addition, the Board of Governors voted a Special Achievement Award to Benjamin Burtt Jr. for the creation of the alien, creature and robot voices in the film."
1978,"Vanessa Redgrave, Best Supporting Actress winner for Julia, sparked controversy by referring to Zionist hoodlums in her acceptance speech."
1978,"The telecast attracted the largest television audience for any Oscar show to date."
1978,"On January 23, 1977, the mini-series Roots premiered on ABC."
1978,"In February 1977, Fleetwood Mac released their album Rumors."
1978,"On June 26, 1977, Elvis Presley performed his last concert, at the Market Square Arena in Indianapolis. He died August 16 at his home, Graceland, at the age of 42."
1978,"In July 1977, a blackout in New York City lasted for 25 hours and resulted in looting, arson, and other disorder. More than 10,000,000 people were affected by the power outage."
1978,"In August 1977, President Carter signed legislation that created the United States Department of Energy."
1978,"On August 10, 1977, David Berkowitz, a U.S. Postal Service employee, was arrested and charged with being the Son of Sam, the serial killer who terrorized New York City for more than a year. Berkowitz claimed that demons and a dog owned by a neighbor named Sam had ordered him to commit the killings. Berkowitz killed six people and wounded seven others during his deadly spree."
1978,"On October 18, 1977, Reggie Jackson hit three home runs in one game to lead the New York Yankees to a World Series victory over the Los Angeles Dodgers. Jackson became the first player to hit three homers in consecutive at-bats during a World Series."
1978,"On November 8, 1977, Harvey Milk was elected to San Francisco’s Board of Supervisors. He was the first openly gay man elected to public office in the United States."
1978,"On December 25, 1977, Charlie Chaplin died at his home in Switzerland."
1978,"Special Achievement Award-To Benjamin Burtt, Jr. for the creation of the alien, creature and robot voices featured in Star Wars."
1978,"Special Achievement Award-To Frank E. Warner for Sound Effects Editing, Close Encounters of the Third Kind."
1978,"Jean Hersholt Humanitarian Award-To Charlton Heston."
1978,"Honorary Award-To Margaret Booth for her exceptional contribution to the art of film editing in the motion picture industry."
1978,"Irving G. Thalberg Memorial Award-To Walter Mirisch."
1979,"Best Picture: The Deer Hunter"
1979,"The Deer Hunter also won Academy Awards for Best Supporting Actor (Christopher Walken), Directing (Michael Cimino), Film Editing (Peter Zinner), and Sound (Richard Portman, William McCaughey, Aaron Rochin, and Darin Knight)."
1979,"Laurence Olivier and John Wayne each made a special appearance at the Awards ceremony and each brought the audience to its feet."
1979,"John Wayne presented the Best Picture award. He had recently had two major surgeries and did not appear well.  He passed away on June 11, 1979, just under two months later."
